['price', 'hours', 'minute', 'seconds']  from C:\D-folder\data\weekdaywise-data\Thursday\2022-06-09
34974.85, 14, 56, 29
34975.8, 14, 56, 30
34975.1, 14, 56, 32
34976.65, 14, 56, 33
34976.65, 14, 56, 34
34977.05, 14, 56, 35
34977.25, 14, 56, 36
34977.95, 14, 56, 38
34978.15, 14, 56, 39
34979.2, 14, 56, 40
34979.0, 14, 56, 41
34977.35, 14, 56, 42
34978.85, 14, 56, 44
34977.95, 14, 56, 45
34977.95, 14, 56, 46
34978.65, 14, 56, 47
34978.4, 14, 56, 48
34978.75, 14, 56, 49
34978.15, 14, 56, 51
34976.85, 14, 56, 52
34977.15, 14, 56, 53
34978.3, 14, 56, 55
34978.3, 14, 56, 56
34978.95, 14, 56, 58
34978.85, 14, 56, 59
34979.5, 14, 57, 0
34979.5, 14, 57, 1
34982.3, 14, 57, 2
34983.15, 14, 57, 3
34982.05, 14, 57, 5
34982.05, 14, 57, 6
34980.65, 14, 57, 7
34977.95, 14, 57, 8
34982.1, 14, 57, 9
34984.6, 14, 57, 10
34983.25, 14, 57, 11
34979.05, 14, 57, 13
34981.35, 14, 57, 14
34980.05, 14, 57, 15
34980.45, 14, 57, 17
34981.05, 14, 57, 18
34982.35, 14, 57, 19
34982.75, 14, 57, 20
34983.95, 14, 57, 21
34981.1, 14, 57, 23
34981.2, 14, 57, 24
34980.6, 14, 57, 25
34982.15, 14, 57, 26
34981.35, 14, 57, 28
34981.05, 14, 57, 29
34980.3, 14, 57, 30
34980.3, 14, 57, 31
34982.3, 14, 57, 32
34979.85, 14, 57, 33
34979.55, 14, 57, 35
34978.8, 14, 57, 36
34979.25, 14, 57, 37
